id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,chk_raw,chk_normalization,system_version,time_download,time_raw,time_normalization,records_raw,records_normalization,n_samples,n_variables,cycle,dataset
145,145,False,standby,2024-08-16 12:25:52.967322+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DS2IDS
146,146,False,standby,2024-08-16 12:25:52.970968+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DS2IDS
147,147,False,standby,2024-08-16 12:25:52.975113+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DS2IDS
148,148,False,standby,2024-08-16 12:25:52.979365+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DS2IDS
149,149,False,standby,2024-08-16 12:25:52.982742+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DS2IDS
150,150,False,standby,2024-08-16 12:25:52.986136+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DS2IDS
151,151,False,standby,2024-08-16 12:25:52.989507+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DS1TOT
152,152,False,standby,2024-08-16 12:25:52.993460+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DS1TOT
153,153,False,standby,2024-08-16 12:25:52.997404+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DS1TOT
154,154,False,standby,2024-08-16 12:25:53.001023+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DS1TOT
155,155,False,standby,2024-08-16 12:25:53.004576+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DS1TOT
156,156,False,standby,2024-08-16 12:25:53.007963+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DS1TOT
157,157,False,standby,2024-08-16 12:25:53.011633+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DS1TOT
158,158,False,standby,2024-08-16 12:25:53.014834+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DS1TOT
159,159,False,standby,2024-08-16 12:25:53.018418+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DS1TOT
160,160,False,standby,2024-08-16 12:25:53.022593+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DS1TOT
161,161,False,standby,2024-08-16 12:25:53.026028+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DS2TOT
162,162,False,standby,2024-08-16 12:25:53.029429+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DS2TOT
163,163,False,standby,2024-08-16 12:25:53.033111+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DS2TOT
164,164,False,standby,2024-08-16 12:25:53.037024+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DS2TOT
165,165,False,standby,2024-08-16 12:25:53.040365+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DS2TOT
166,166,False,standby,2024-08-16 12:25:53.043740+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DS2TOT
167,167,False,standby,2024-08-16 12:25:53.047037+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DS2TOT
168,168,False,standby,2024-08-16 12:25:53.050573+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DS2TOT
169,169,False,standby,2024-08-16 12:25:53.054259+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DS2TOT
170,170,False,standby,2024-08-16 12:25:53.057637+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DS2TOT
171,171,False,standby,2024-08-16 12:25:53.061448+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DSQIDS
172,172,False,standby,2024-08-16 12:25:53.064640+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DSQIDS
173,173,False,standby,2024-08-16 12:25:53.068271+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DSQIDS
174,174,False,standby,2024-08-16 12:25:53.072089+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DSQIDS
175,175,False,standby,2024-08-16 12:25:53.075214+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DSQIDS
176,176,False,standby,2024-08-16 12:25:53.078398+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DSQIDS
177,177,False,standby,2024-08-16 12:25:53.081552+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DSQIDS
178,178,False,standby,2024-08-16 12:25:53.084692+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DSQIDS
179,179,False,standby,2024-08-16 12:25:53.087817+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DSQIDS
180,180,False,standby,2024-08-16 12:25:53.091163+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DSQIDS
181,181,False,standby,2024-08-16 12:25:53.094366+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DSQTOT
182,182,False,standby,2024-08-16 12:25:53.097413+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DSQTOT
183,183,False,standby,2024-08-16 12:25:53.100613+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DSQTOT
184,184,False,standby,2024-08-16 12:25:53.103817+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DSQTOT
185,185,False,standby,2024-08-16 12:25:53.106762+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DSQTOT
186,186,False,standby,2024-08-16 12:25:53.109791+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DSQTOT
